idx,open,high,low,close,volume
0,76051.57,76187.75,76030.83,76186.48,66.6441
1,76186.48,76245.98,76066.27,76083.57,45.9730
2,76083.58,76089.42,75936.00,75975.90,44.9196
3,75975.91,76110.01,75975.90,76042.00,91.7014
4,76041.99,76042.00,75930.00,75930.01,31.6651
5,75930.01,75937.04,75831.26,75929.71,41.3570
6,75930.03,75946.33,75742.18,75744.94,39.2532
7,75744.94,75826.44,75613.20,75698.70,72.4018
8,75698.90,75851.24,75698.44,75751.74,47.2184
9,75751.74,75862.19,75751.74,75862.19,25.0301
10,75862.19,76000.00,75862.19,76000.00,50.5877
11,76000.00,76000.00,75926.00,75986.00,22.0384
12,75985.99,75998.01,75926.78,75935.24,14.6493
13,75935.24,75935.24,75760.00,75777.09,78.0631
14,75777.09,75830.71,75726.70,75762.15,31.5179
15,75762.15,75956.58,75762.14,75874.76,28.8732
16,75874.76,75901.21,75794.93,75901.20,19.9912
17,75901.21,75901.21,75763.39,75793.17,25.2752
18,75793.17,75793.17,75660.00,75680.51,59.2005
19,75680.50,75721.60,75642.19,75660.40,29.8982
20,75660.40,75725.08,75558.01,75674.98,42.0761
21,75674.97,75766.42,75660.00,75748.77,16.8544
22,75748.78,75756.83,75640.64,75643.08,29.5029
23,75643.08,75664.32,75425.55,75576.23,74.0912
24,75576.22,75576.23,75392.35,75453.85,42.7377
25,75453.85,75597.40,75392.34,75500.01,45.2982
26,75500.00,75500.01,75399.99,75400.00,27.3013
27,75400.00,75460.50,75302.11,75381.89,125.9059
28,75381.88,75394.37,75167.21,75191.11,130.4992
29,75191.11,75270.39,75140.64,75233.52,46.4875
30,75233.53,75554.41,75209.81,75493.00,95.5890
31,75493.00,75621.48,75489.36,75609.42,65.1331
32,75609.41,75664.56,75532.88,75635.79,36.3517
33,75635.79,75635.79,75570.69,75613.72,18.5594
34,75613.72,75702.45,75600.00,75702.44,25.7229
35,75702.45,75747.98,75702.44,75740.56,31.3034
36,75740.56,75740.56,75656.35,75668.00,55.0234
37,75667.99,75777.00,75658.47,75770.00,29.3104
38,75770.00,75849.40,75741.62,75833.47,29.5021
39,75833.47,75898.85,75833.46,75896.99,20.3736
40,75896.99,75933.12,75870.81,75933.11,28.1546
41,75933.12,75942.13,75866.47,75872.98,40.6494
42,75872.97,75872.98,75734.22,75734.22,65.1547
43,75734.22,75741.06,75562.01,75680.00,65.7671
44,75680.01,75693.11,75586.40,75586.40,30.5090
45,75586.40,75696.94,75570.36,75673.74,28.9415
46,75673.74,75718.91,75649.39,75662.86,23.6960
47,75662.85,75716.51,75649.61,75694.62,16.3858
48,75694.62,75704.20,75625.00,75644.48,34.1936
49,75644.48,75745.87,75578.61,75745.87,37.8314
50,75745.87,75793.59,75693.36,75693.97,32.0306
51,75693.96,75762.26,75677.15,75702.64,19.4092
52,75702.64,75794.21,75682.83,75784.17,18.8990
53,75784.17,75837.96,75727.29,75823.88,25.3881
54,75823.88,75850.07,75784.99,75850.07,22.7489
55,75850.07,75867.05,75808.24,75808.24,32.0855
56,75808.25,75915.49,75800.00,75915.45,18.5905
57,75915.44,75915.44,75777.00,75802.27,20.3128
58,75802.28,75878.87,75758.66,75841.15,25.9347
59,75841.15,75841.16,75733.45,75735.98,35.7084
60,75735.98,75807.41,75731.65,75772.10,51.6086
61,75772.10,75862.43,75693.96,75720.23,34.6592
62,75720.22,75792.03,75700.67,75755.81,19.6406
63,75755.82,75827.60,75709.63,75786.07,25.2704
64,75786.07,75808.22,75721.00,75803.36,24.5983
65,75803.36,75933.12,75797.46,75933.12,37.8853
66,75933.12,75964.01,75870.22,75871.46,28.7748
67,75871.47,75871.47,75686.12,75687.50,28.4603
68,75687.49,75726.42,75558.92,75560.16,74.7681
69,75560.16,75670.28,75547.73,75659.55,20.3220
70,75659.55,75714.01,75576.13,75585.72,75.8553
71,75585.71,75585.71,75457.52,75482.81,44.1980
72,75482.81,75523.48,75463.83,75489.14,57.0335
73,75489.14,75662.17,75483.32,75621.94,40.1011
74,75621.95,75657.37,75586.06,75616.32,35.7466
75,75616.32,75674.04,75550.00,75659.07,32.7180
76,75659.07,75840.01,75648.91,75823.85,49.5937
77,75823.85,75848.28,75807.30,75841.85,21.0829
78,75841.85,75940.50,75841.85,75940.50,26.3921
79,75940.50,76048.21,75931.75,76020.01,53.1493
80,76020.01,76111.00,76009.41,76058.34,51.6280
81,76058.35,76070.01,75964.78,75964.78,26.8994
82,75964.79,76000.00,75935.31,75992.01,19.4640
83,75992.00,75992.01,75917.83,75924.01,24.9700
